id_Mes,id_Semana,dia_inicio,dia_fin,fecha_inicio,fecha_fin,estacion
1,1,1,7,31/12/2022,07/01/2023,Verano
1,2,8,14,07/01/2023,14/01/2023,Verano
1,3,15,21,14/01/2023,21/01/2023,Verano
1,4,22,28,21/01/2023,28/01/2023,Verano
2,5,29,35,28/01/2023,04/02/2023,Verano
2,6,36,42,04/02/2023,11/02/2023,Verano
2,7,43,49,11/02/2023,18/02/2023,Verano
2,8,50,56,18/02/2023,25/02/2023,Verano
3,9,57,63,25/02/2023,04/03/2023,Verano
3,10,64,70,04/03/2023,11/03/2023,Verano
3,11,71,77,11/03/2023,18/03/2023,Verano
3,12,78,84,18/03/2023,25/03/2023,Otono
4,13,85,91,25/03/2023,01/04/2023,Otono
4,14,92,98,01/04/2023,08/04/2023,Otono
4,15,99,105,08/04/2023,15/04/2023,Otono
4,16,106,112,15/04/2023,22/04/2023,Otono
4,17,113,119,22/04/2023,29/04/2023,Otono
5,18,120,126,29/04/2023,06/05/2023,Otono
5,19,127,133,06/05/2023,13/05/2023,Otono
5,20,134,140,13/05/2023,20/05/2023,Otono
5,21,141,147,20/05/2023,27/05/2023,Otono
6,22,148,154,27/05/2023,03/06/2023,Otono
6,23,155,161,03/06/2023,10/06/2023,Otono
6,24,162,168,10/06/2023,17/06/2023,Otono
6,25,169,175,17/06/2023,24/06/2023,Invierno
7,26,176,182,24/06/2023,01/07/2023,Invierno
7,27,183,189,01/07/2023,08/07/2023,Invierno
7,28,190,196,08/07/2023,15/07/2023,Invierno
7,29,197,203,15/07/2023,22/07/2023,Invierno
7,30,204,210,22/07/2023,29/07/2023,Invierno
8,31,211,217,29/07/2023,05/08/2023,Invierno
8,32,218,224,05/08/2023,12/08/2023,Invierno
8,33,225,231,12/08/2023,19/08/2023,Invierno
8,34,232,238,19/08/2023,26/08/2023,Invierno
9,35,239,245,26/08/2023,02/09/2023,Invierno
9,36,246,252,02/09/2023,09/09/2023,Invierno
9,37,253,259,09/09/2023,16/09/2023,Invierno
9,38,260,266,16/09/2023,23/09/2023,Primavera
9,39,267,273,23/09/2023,30/09/2023,Primavera
10,40,274,280,30/09/2023,07/10/2023,Primavera
10,41,281,287,07/10/2023,14/10/2023,Primavera
10,42,288,294,14/10/2023,21/10/2023,Primavera
10,43,295,301,21/10/2023,28/10/2023,Primavera
11,44,302,308,28/10/2023,04/11/2023,Primavera
11,45,309,315,04/11/2023,11/11/2023,Primavera
11,46,316,322,11/11/2023,18/11/2023,Primavera
11,47,323,329,18/11/2023,25/11/2023,Primavera
12,48,330,336,25/11/2023,02/12/2023,Primavera
12,49,337,343,02/12/2023,09/12/2023,Primavera
12,50,344,350,09/12/2023,16/12/2023,Primavera
12,51,351,357,16/12/2023,23/12/2023,Verano
12,52,358,364,23/12/2023,30/12/2023,Verano
